"","Participant","Smartphone_Total","Phone_Type","Social_Media","AWC_Total","Infant_Age"
"1","169",198,"iPhone",01:58:00,13847,"6-9 Months"
"2","172",4033,"iPhone",00:20:00,8859,"12-15 Months"
"3","213",1982,"iPhone",00:35:00,6238,"12-15 Months"
"4","217",1806,"iPhone",01:07:00,870,"6-9 Months"
"5","219",4832,"Android",00:00:26,10105,"6-9 Months"
"6","224",3897,"iPhone",02:27:00,7978,"6-9 Months"
"7","229",8,"Android",00:01:47,4948,"12-15 Months"
"8","232",598,"Android",00:07:27,6071,"6-9 Months"
"9","233",5243,"iPhone",02:49:00,10788,"12-15 Months"
"10","235",6189,"Android",00:01:41,4274,"6-9 Months"
"11","241",82,"iPhone",04:10:00,11512,"12-15 Months"
"12","247",1464,"Android",00:03:06,6568,"6-9 Months"
"13","252",196,"iPhone",00:21:00,6102,"12-15 Months"
"14","254",397,"iPhone",00:03:00,9256,"12-15 Months"
"15","255",0,"iPhone",01:37:00,9322,"12-15 Months"
"16","256",5901,"Android",00:03:23,5612,"12-15 Months"
"17","257",7326,"Android",00:05:27,9143,"6-9 Months"
"18","261",2416,"iPhone",01:04:00,7788,"12-15 Months"
"19","268",4944,"iPhone",00:29:00,3456,"6-9 Months"
"20","270",4587,"iPhone",01:16:00,11920,"12-15 Months"
"21","271",5949,"iPhone",00:43:00,4626,"6-9 Months"
"22","281",2915,"iPhone",00:14:00,3682,"6-9 Months"
"23","283",3556,"Android",00:00:38,6541,"6-9 Months"
"24","284",2973,"iPhone",00:05:00,5877,"12-15 Months"
"25","85",2507,"iPhone",00:09:00,9774,"12-15 Months"
"26","220",NA,"iPhone",NA,7738,"6-9 Months"
"27","223",NA,"iPhone",02:03:00,6658,"12-15 Months"
"28","237",NA,"iPhone",00:51:00,3812,"6-9 Months"
"29","276",NA,"iPhone",01:00:00,7263,"6-9 Months"
"30","171",NA,"Android",00:00:23,5498,"12-15 Months"
